time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_b2i_0,q_b2i_1,q_b2i_2,q_b2i_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2
10764.0,0.0010509999701753259,0.0009410000056959689,-0.0023270000237971544,0.9892550110816956,-0.00815299991518259,-0.009747999720275402,-0.14564800262451172,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012629917995299994,-0.8552534819351355,-1.0040831638250018,0.47178070968235597,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.007220071637148693,0.0060387046742324995,-0.00023673551343329432
10775.0,0.0010509999701753259,0.0009410000056959689,-0.0023270000237971544,0.9892550110816956,-0.00815299991518259,-0.009747999720275402,-0.14564800262451172,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012629917995299994,-0.8552534819351355,-1.0040831638250018,0.47178070968235597,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.0068507171284913635,0.005729784914156728,-0.00022462492317321955
10786.0,-0.0016139999497681856,-0.001003999961540103,-0.00040600000647827983,0.9892569780349731,-0.00816699955612421,-0.009740999899804592,-0.14563199877738953,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012634016989796382,-0.8564734099451862,-1.003109532648497,0.47194648587745996,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.006782890472746943,0.005686874365746779,-0.00022268817229679426
10799.0,-0.0016139999497681856,-0.001003999961540103,-0.00040600000647827983,0.9892569780349731,-0.00816699955612421,-0.009740999899804592,-0.14563199877738953,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012634016989796382,-0.8564734099451862,-1.003109532648497,0.47194648587745996,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.007688594027262849,0.0064462294442103035,-0.00025242320487740686
10809.0,-0.0016139999497681856,-0.001003999961540103,-0.00040600000647827983,0.9892569780349731,-0.00816699955612421,-0.009740999899804592,-0.14563199877738953,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012634016989796382,-0.8564734099451862,-1.003109532648497,0.47194648587745996,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.006777325670433813,0.005682208754271533,-0.00022250547501437713
10820.0,-0.0016139999497681856,-0.001003999961540103,-0.00040600000647827983,0.9892569780349731,-0.00816699955612421,-0.009740999899804592,-0.14563199877738953,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012634016989796382,-0.8564734099451862,-1.003109532648497,0.47194648587745996,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.0068556551373158475,0.005747881322490617,-0.00022507709929270317
10831.0,-0.0016139999497681856,-0.001003999961540103,-0.00040600000647827983,0.9892569780349731,-0.00816699955612421,-0.009740999899804592,-0.14563199877738953,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012634016989796382,-0.8564734099451862,-1.003109532648497,0.47194648587745996,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.006618262483762307,0.0055488478571067215,-0.00021728329275123994
10844.0,0.0006859999848529696,-0.00044800000614486635,-0.0014659999869763851,0.9892590045928955,-0.008159000426530838,-0.009739000350236893,-0.14562000334262848,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012622902140767901,-0.8558449199980149,-1.0030118702941444,0.47122885043880236,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.007840089143408453,0.006568169755974284,-0.000257180264275865
10855.0,0.0006859999848529696,-0.00044800000614486635,-0.0014659999869763851,0.9892590045928955,-0.008159000426530838,-0.009739000350236893,-0.14562000334262848,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012622902140767901,-0.8558449199980149,-1.0030118702941444,0.47122885043880236,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.0069230171400224165,0.005799876884999066,-0.0002270973384472587
10866.0,0.0006859999848529696,-0.00044800000614486635,-0.0014659999869763851,0.9892590045928955,-0.008159000426530838,-0.009739000350236893,-0.14562000334262848,1.0,0.0,0.0,0.0,-0.06322140673047678,-0.06565299929703358,-0.0005065817846993333,0.0,0.0,0.0,0.093,0.0,0.012622902140767901,-0.8558449199980149,-1.0030118702941444,0.47122885043880236,-0.016437565749923964,-0.017069779817228733,-0.00013576391829942132,-0.006716172511815524,0.0056265892340140655,-0.00022031216608847033
