time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_b2i_0,q_b2i_1,q_b2i_2,q_b2i_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
6.0,-0.026491999626159668,-0.006523000076413155,-0.060791999101638794,0.9997810125350952,-0.017697999253869057,0.011194000020623207,-2.9999999242136255e-05,0.9904172676638404,0.0,0.0,-0.13810733475559073,0.0,0.0,-0.1208,0.0,0.0,0.0,0.014549381071214925,0.026586055591055327,-0.1208,0.13487267177698017,-0.0756555464995857,-0.03870981578401097,0.021806707351072315,-0.013793677626018063,0.0,-0.003866211518970626,-0.007065568125331078,0.00033687047078582305,0.0,0.0,-0.06156255219623241
33.0,-0.026491999626159668,-0.006523000076413155,-0.060791999101638794,0.9997810125350952,-0.017697999253869057,0.011194000020623207,-2.9999999242136255e-05,0.9903029180754506,3.95339616527556e-08,2.8242106947437066e-07,-0.138924909397725,0.0007092144985790666,0.00030394907081959994,-0.1208,0.10563243107700525,0.10563243107700525,0.0,0.011178051646802842,0.02852364752587039,-0.1208,0.13683560030886918,-0.07097899359476836,-0.39265867805981824,0.023355853409652558,-0.017408351762705297,4.809569880135885e-05,-0.0038854194572929494,-0.0071092207068803835,0.00033884691562171583,1.3606730230951574e-08,3.15804421621654e-05,-0.06156255219623093
54.0,-0.026491999626159668,-0.006523000076413155,-0.060791999101638794,0.9997810125350952,-0.017697999253869057,0.011194000020623207,-2.9999999242136255e-05,0.9902123976064103,1.1998421310695663e-07,8.532151769203764e-07,-0.13956864843446015,0.004052654277594666,0.002938174351256133,-0.1208,0.23687155756011286,0.20361547739829028,0.0,0.011158667631853185,0.028532607994059395,-0.1208,0.13684245677313062,-0.07094151146590151,-0.3943946708999042,0.036781785917347994,-0.03444895840708797,0.00020413504031413645,-0.003900525159574365,-0.00714360239645501,0.00034040309261822947,6.57298786166583e-08,6.172526993620017e-05,-0.06156255219619734
75.0,0.01018300000578165,-0.10536099970340729,-0.0571260005235672,0.9997789859771729,-0.01844399981200695,0.009960999712347984,-0.0013729999773204327,0.9901220198254825,2.465692349781579e-07,1.7452341110212343e-06,-0.14020836584740518,0.008307941269069065,0.008206624912129198,-0.1208,0.15163727982177425,0.36259299538366385,0.0,-0.0017039080647776475,0.02521108863336958,-0.1208,0.1176505899679424,-0.011729288761316663,-0.5538549634166605,0.06453624268508322,-0.05464812663512087,0.0003741088032417677,-0.003907806613383553,-0.007176016118010212,0.0003417371289864664,1.551638655730676e-07,9.330525441133747e-05,-0.060755237373440615
97.0,0.01018300000578165,-0.10536099970340729,-0.0571260005235672,0.9997789859771729,-0.01844399981200695,0.009960999712347984,-0.0013729999773204327,0.9900296085767548,4.2334862219923863e-07,2.9824141487758535e-06,-0.14085941265064109,0.010840850192565732,0.017223780679777333,-0.1208,0.049637252813650556,0.3019163531232666,0.0,-0.0017227609054049626,0.025218563540288223,-0.1208,0.11765512405137893,-0.011695098928097364,-0.5555376775993268,0.11049410232012292,-0.06755763776855898,0.000146134040652935,-0.003907009593481969,-0.007207141025284751,0.00034286924004402333,2.8573946849959453e-07,0.00012344933982032013,-0.0607552373729668
117.0,0.01018300000578165,-0.10536099970340729,-0.0571260005235672,0.9997789859771729,-0.01844399981200695,0.009960999712347984,-0.0013729999773204327,0.989942881600099,6.340235056398215e-07,4.4467748591858084e-06,-0.1414676328674391,0.010536901121746132,0.02269486395453013,-0.1208,-0.10537508753687902,0.2163531214455258,0.0,-0.0017409279172251346,0.025225827277978702,-0.1208,0.11765946468652916,-0.011662777929458303,-0.5571761246523738,0.13837864636834926,-0.06600849643254643,-0.00017053655500311925,-0.0039062490793689395,-0.007236226100906046,0.0003439268416435671,4.5293539047189554e-07,0.0001535928390003297,-0.06075523737195042
138.0,0.05381600186228752,-0.08104600012302399,-0.03353099897503853,0.9998170137405396,-0.0173799991607666,0.007668000180274248,-0.0023270000237971544,0.9898895549872126,8.989234837100094e-07,6.286031501890464e-06,-0.14184029359422534,0.007193461342730532,0.026544885518245066,-0.1208,-0.23680063611204655,0.1249122139694793,0.0,-0.001991016857118218,0.01857303372988808,-0.1208,0.08775529947675752,-0.005733016162286305,-0.4575576069673242,0.15670715434820517,-0.046167354712109414,-0.0004191352098103896,-0.0039050744595077944,-0.007258624906281307,0.0003446869248963382,3.814896428802605e-07,0.0001823001619572105,-0.03549103701444979
159.0,0.05381600186228752,-0.08104600012302399,-0.03353099897503853,0.9998170137405396,-0.0173799991607666,0.007668000180274248,-0.0023270000237971544,0.9898377760941275,1.2006809992371936e-06,8.372935720804685e-06,-0.14220118475415164,0.0023302762096169332,0.028165947229282933,-0.1208,-0.18571662628438562,0.049637252813650556,0.0,-0.0020006975779793853,0.01857642930764093,-0.1208,0.08775853609974256,-0.005715349539437709,-0.4584715275050713,0.16497054894220142,-0.02137717093012074,-0.0009287218944468178,-0.0039039284703051495,-0.007280319740305083,0.00034542299169645934,5.229665843705385e-07,0.0002124420484909652,-0.035491037012647095
183.0,0.03541199862957001,-0.048503998667001724,-0.02301800064742565,0.9998400211334229,-0.01632699929177761,0.006490999832749367,-0.0032689999788999557,0.9897839057405741,1.6181945852673602e-06,1.125156491817946e-05,-0.1425756634482833,-0.0014184289971581332,0.026544885518245066,-0.1208,-0.06408008150001449,-0.17113345418393397,0.0,0.00021916489574249002,0.01904700894915547,-0.1208,0.09190266472198885,-0.014373617987040935,-0.4062625394221332,0.15541993134377038,-0.0008331132138247019,-0.0010348950050952594,-0.003903744582607765,-0.0073062626162485,0.0003462986107317457,4.925365228069754e-07,0.0002497590793923287,-0.024121889279855514
204.0,0.03541199862957001,-0.048503998667001724,-0.02301800064742565,0.9998400211334229,-0.01632699929177761,0.006490999832749367,-0.0032689999788999557,0.9897470662944641,2.0373447840554004e-06,1.4137368738068064e-05,-0.14283117501962214,-0.0019250107818574664,0.022390914883710533,-0.1208,0.030901488086022066,-0.1766518216630649,0.0,0.00021298303704633928,0.019049493841932198,-0.1208,0.09190622017563718,-0.01436480742664804,-0.4069596354456818,0.13424279084359556,0.0017494648959527133,-0.0009354004656315067,-0.0039052623831835383,-0.007329539028840706,0.0003470779137962042,6.483462248420357e-07,0.00028420396993970555,-0.024121889276170882
