time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_i2b_0,q_i2b_1,q_i2b_2,q_i2b_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
6.0,0.06159299984574318,-0.06043199822306633,0.017620999366044998,0.999970018863678,-0.0022410000674426556,-0.007412999868392944,5.400000009103678e-05,0.999248079933878,0.0,0.0,0.03877208723370658,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.0060485301810226854,-0.0004383366323479038,-0.1208,-0.002233768831660296,0.030857695412479166,0.00017146163976973478,-0.0027623309004890053,-0.009135728038870106,-0.0,0.08584390840012271,-0.0017981191664717666,-0.0012808768169102554,0.0,0.0,0.0188029180247282
32.0,0.06159299984574318,-0.06043199822306633,0.017620999366044998,0.999970018863678,-0.0022410000674426556,-0.007412999868392944,5.400000009103678e-05,0.9992388034684534,0.0,0.0,0.03901042992500518,-0.00030394907081959994,-0.00030394907081959994,-0.1208,-0.0708849741787032,-0.028661069409972834,0.0,-0.007358675744222342,-0.0005625450406933357,-0.1208,-0.002866873300917807,0.03754163539715224,0.00021081420443985944,-0.004312649943673226,-0.007585408995685885,1.5429130493169094e-05,0.08637618083615112,-0.0017929509877614373,-0.0012887456990052124,0.0,0.0,0.018802918024728207
56.0,0.06159299984574318,-0.06043199822306633,0.017620999366044998,0.999970018863678,-0.0022410000674426556,-0.007412999868392944,5.400000009103678e-05,0.9992297544299007,0.0,0.0,0.039241532359991275,-0.003951337920654799,-0.0005065817846993333,-0.1208,-0.16462036273749628,0.0,0.0,-0.007370551025296871,-0.0005637264505418616,-0.1208,-0.002872895280839096,0.03760221923115267,0.0002111751025768027,-0.0053461959724627065,0.011018419522524763,6.631266230349835e-05,0.08689231395747457,-0.0017878435045421857,-0.0012963755541150863,0.0,0.0,0.018802918024728204
78.0,0.02439899928867817,-0.02552499994635582,0.010459000244736671,0.9999650120735168,-0.0013729999773204327,-0.008294000290334225,0.00015100000018719584,0.9992241012203334,0.0,0.0,0.03938521982187093,-0.006686879558031199,-0.0005065817846993333,-0.1208,-0.07019585073111402,0.0,0.0,-0.006886429745621047,-4.5093584025309616e-05,-0.1208,-0.0002283990959125509,0.03513377119518162,0.00010036453229376892,-0.004277449614503062,0.023884986210194702,7.04092668665258e-05,0.08734168091552276,-0.001795012158437821,-0.001303623743823882,0.0,0.0,0.01093238889053649
104.0,0.02439899928867817,-0.02552499994635582,0.010459000244736671,0.9999650120735168,-0.0013729999773204327,-0.008294000290334225,0.00015100000018719584,0.9992185473043926,0.0,0.0,0.039525874094059985,-0.0072947776996703986,-0.00020263271387973333,-0.1208,0.04052970282241675,0.04052970282241675,0.0,-0.006884444827022827,-4.512662092741855e-05,-0.1208,-0.00022856806299453565,0.03512364435846366,0.0001003394987455,-0.00272716265792119,0.026985560123358447,6.15470262238988e-05,0.08786404277351871,-0.0018086431738124945,-0.0013123268503601477,0.0,0.0,0.010932388890536493
125.0,0.007466999813914299,-0.011284000240266323,0.01869400031864643,0.9999669790267944,-0.0010740000288933516,-0.00803999975323677,0.001041000010445714,0.9992129879136007,0.0,0.0,0.03966616675171126,-0.006788195914971066,0.0,-0.1208,0.0,0.0,0.0,-0.0063346805026228935,0.0002780534182863557,-0.1208,0.0014193520361555623,0.032318650012905605,4.71460725101371e-05,-0.001333922703372501,0.024716225389541196,3.8632209582059666e-05,0.08828816321052237,-0.001823772370694893,-0.00131934370183673,0.0,0.0,0.01883603084673359
150.0,0.007466999813914299,-0.011284000240266323,0.01869400031864643,0.9999669790267944,-0.0010740000288933516,-0.00803999975323677,0.001041000010445714,0.9992038024748855,0.0,0.0,0.03989688107772394,-0.0064842468441514665,0.00020263271387973333,-0.1208,0.04052970282241675,0.0,0.0,-0.006337519021352744,0.00027760659991122477,-0.1208,0.0014170735175953928,0.03233313163524645,4.721406158280348e-05,-0.00030038785800446977,0.02316592312148915,2.833746266931198e-05,0.08874534251604105,-0.0018525315107768422,-0.00132675710312885,0.0,0.0,0.01883603084673359
171.0,0.007466999813914299,-0.011284000240266323,0.01869400031864643,0.9999669790267944,-0.0010740000288933516,-0.00803999975323677,0.001041000010445714,0.9991959425216567,0.0,0.0,0.040093246915885235,-0.006281614130271732,0.00020263271387973333,-0.1208,0.0,0.0,0.0,-0.0063471231458634095,0.0002768319377299675,-0.1208,0.0014131240143076314,0.03238213031689383,4.7383646737121726e-05,-0.00030038785800446977,0.022132388276121115,2.7184262383280345e-05,0.0891344685815752,-0.0018769276192134327,-0.0013330668078344278,0.0,0.0,0.018836030846733583
196.0,-0.01248599961400032,0.06144699826836586,0.033250998705625534,0.9999709725379944,-0.0016599999507889152,-0.007122000213712454,0.0019369999645277858,0.9991818108044868,0.0,0.0,0.04044389889052379,-0.006281614130271732,0.00020263271387973333,-0.1208,0.0,0.0,0.0,-0.003804319520721128,0.0011977000258221427,-0.1208,0.006110042329488143,0.0194087283724464,-2.2021395172151703e-05,-0.0010292508635922379,0.023267025343702258,4.7698749125176174e-05,0.08949001381925908,-0.0019524949079320814,-0.0013386908850112737,0.0,0.0,0.03286395629945271
219.0,-0.01248599961400032,0.06144699826836586,0.033250998705625534,0.9999709725379944,-0.0016599999507889152,-0.007122000213712454,0.0019369999645277858,0.999166726954757,0.0,0.0,0.040814847133345565,-0.0055723996316926665,0.0009118472124587998,-0.1208,0.09927063534256378,0.04052970282241675,0.0,-0.003801122679247813,0.0011975032540645332,-0.1208,0.006109037877045723,0.019392419048658162,-2.2061694335495306e-05,0.0025882042030565136,0.019649570277053514,1.4910732823753753e-05,0.08974562545313794,-0.002043721284372787,-0.0013426358727044322,0.0,0.0,0.032863956299452705
244.0,-0.012586000375449657,0.04636099934577942,0.0167820006608963,0.9999809861183167,-0.0017740000039339066,-0.005297999829053879,0.002753000007942319,0.9991528686587874,0.0,0.0,0.04115270405351038,-0.003748705206775066,0.001114479926338533,-0.1208,0.0,0.0,0.0,-0.003160779199695622,0.0013164120817699624,-0.1208,0.0067155637519835006,0.01612483390450514,-1.3411792904118512e-05,0.0034805340686884733,0.01259833955351838,4.2369920771872055e-06,0.09000539239452554,-0.0021504729945593954,-0.0013463996159378045,0.0,0.0,0.01648189194135511
