time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_b2i_0,q_b2i_1,q_b2i_2,q_b2i_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2
1740422353541.0,0.00023400000645779073,-0.0006970000104047358,-0.0007300000288523734,0.1504729986190796,0.7403820157051086,0.17374099791049957,-0.6316699981689453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.533181232253205e-13,2.4031688224044057e-12,-2.5380110107690492e-12,-4.9638433060543355e-12,5.972162142506767e-12,7.128206658581691e-12,0.0,0.0,0.0,4.44970505844016e-10,-1.4195055363270616e-09,1.4991542198192796e-09
1740422353546.0,0.00023400000645779073,-0.0006970000104047358,-0.0007300000288523734,0.1504729986190796,0.7403820157051086,0.17374099791049957,-0.6316699981689453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.533181232253205e-13,2.4031688224044057e-12,-2.5380110107690492e-12,-4.9638433060543355e-12,5.972162142506767e-12,7.128206658581691e-12,0.0,0.0,0.0,4.453681994264091e-10,-1.4207742232053032e-09,1.5004940929218996e-09
1740422353551.0,0.00023400000645779073,-0.0006970000104047358,-0.0007300000288523734,0.1504729986190796,0.7403820157051086,0.17374099791049957,-0.6316699981689453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.533181232253205e-13,2.4031688224044057e-12,-2.5380110107690492e-12,-4.9638433060543355e-12,5.972162142506767e-12,7.128206658581691e-12,0.0,0.0,0.0,4.4526860021578766e-10,-1.4204564906162123e-09,1.5001585323062347e-09
1740422353556.0,0.00023400000645779073,-0.0006970000104047358,-0.0007300000288523734,0.1504729986190796,0.7403820157051086,0.17374099791049957,-0.6316699981689453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.533181232253205e-13,2.4031688224044057e-12,-2.5380110107690492e-12,-4.9638433060543355e-12,5.972162142506767e-12,7.128206658581691e-12,0.0,0.0,0.0,4.4531448793683296e-10,-1.4206028775637015e-09,1.5003131330488447e-09
1740422353561.0,0.00023400000645779073,-0.0006970000104047358,-0.0007300000288523734,0.1504729986190796,0.7403820157051086,0.17374099791049957,-0.6316699981689453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.533181232253205e-13,2.4031688224044057e-12,-2.5380110107690492e-12,-4.9638433060543355e-12,5.972162142506767e-12,7.128206658581691e-12,0.0,0.0,0.0,4.462989641590304e-10,-1.4237434665003567e-09,1.5036299409348405e-09
1740422353567.0,0.00023400000645779073,-0.0006970000104047358,-0.0007300000288523734,0.1504729986190796,0.7403820157051086,0.17374099791049957,-0.6316699981689453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.533181232253205e-13,2.4031688224044057e-12,-2.5380110107690492e-12,-4.9638433060543355e-12,5.972162142506767e-12,7.128206658581691e-12,0.0,0.0,0.0,4.536924254205632e-10,-1.4473294324363653e-09,1.5285393192053696e-09
1740422353572.0,0.00023400000645779073,-0.0006970000104047358,-0.0007300000288523734,0.1504729986190796,0.7403820157051086,0.17374099791049957,-0.6316699981689453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.533181232253205e-13,2.4031688224044057e-12,-2.5380110107690492e-12,-4.9638433060543355e-12,5.972162142506767e-12,7.128206658581691e-12,0.0,0.0,0.0,4.490342942893895e-10,-1.4324694746575987e-09,1.5128455668104219e-09
1740422353577.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.456060729219122e-10,8.935079094588602e-10,5.532270306173209e-10
1740422353582.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.458739739913294e-10,8.939466357420828e-10,5.534986736955203e-10
1740422353587.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.440601678326433e-10,8.909762689711779e-10,5.516595325182393e-10
1740422353592.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.442009876255421e-10,8.912068815046666e-10,5.518023192644723e-10
1740422353597.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.431172548138814e-10,8.894321141642426e-10,5.507034490078296e-10
1740422353602.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.434659769991925e-10,8.90003196573774e-10,5.510570421012071e-10
1740422353607.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.535227856539392e-10,9.064726578259336e-10,5.612543230071114e-10
1740422353612.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.404294428826538e-10,8.850304380486735e-10,5.47978094054195e-10
1740422353617.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.463625499801062e-10,8.947467487393702e-10,5.539940740528778e-10
1740422353622.0,-0.0002610000083222985,-0.0004299999854993075,0.0004360000020824373,0.1504420042037964,0.7403920292854309,0.1737080067396164,-0.6316739916801453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197798422191066e-13,-1.5062709247028773e-12,-9.326272125372234e-13,-1.0713488167536442e-12,2.571537095503746e-12,-5.209837906368772e-12,0.0,0.0,0.0,-5.426657084200361e-10,8.886926424200448e-10,5.502455954701752e-10
