time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_b2i_0,q_b2i_1,q_b2i_2,q_b2i_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
6.0,-0.03851199895143509,-0.0006220000213943422,-0.0119439996778965,0.7506139874458313,0.02166599966585636,0.008771000429987907,-0.6603270173072815,0.9982744168403204,0.0,0.0,-0.05872127963624692,0.0,0.0,-0.1208,0.0,0.0,0.0,0.019733570529122776,0.012217967513734397,-0.1208,0.062448213978601626,-0.10062139413388697,-0.0034775407350644675,-0.027181104909800285,0.009518222230539594,0.0,-0.7785013995785194,-0.4675126342132014,-0.0326820194431814,0.0,0.0,-0.011308649389937572
32.0,-0.03851199895143509,-0.0006220000213943422,-0.0119439996778965,0.7506139874458313,0.02166599966585636,0.008771000429987907,-0.6603270173072815,0.9982656555464181,0.0,0.0,-0.05887003445285551,0.0007092144985790666,0.00030394907081959994,-0.1208,0.10563243107700525,0.10563243107700525,0.0,0.02034915669286288,0.011010591725894326,-0.1208,0.05628602736988638,-0.10375473851072142,-0.0037111862910419145,-0.025632294949795475,0.005904332323861701,-6.990193488298122e-05,-0.7805354550258841,-0.4685790641036888,-0.032760562588419966,0.0,0.0,-0.011308649389937574
58.0,-0.03851199895143509,-0.0006220000213943422,-0.0119439996778965,0.7506139874458313,0.02166599966585636,0.008771000429987907,-0.6603270173072815,0.9982568574953762,0.0,0.0,-0.05901903475537366,0.005268450560873066,0.004052654277594666,-0.1208,0.26806888940092566,0.23630885665951956,0.0,0.02040897188010692,0.011022642696942914,-0.1208,0.056347762429479295,-0.10405964897728509,-0.003723695720339474,-0.006530305443069468,-0.017327817076210467,-0.0004463889649615449,-0.782573034334273,-0.46964695765956493,-0.032839224854413866,0.0,0.0,-0.011308649389937576
80.0,0.015182999894022942,-0.06245400011539459,-0.00025400001322850585,0.9997169971466064,0.02266700007021427,-0.007166000083088875,-0.00021100000594742596,0.9982583566807267,0.0,0.0,-0.058993671839403974,0.011347431977265066,0.008307941269069065,-0.1208,0.27034621762487565,0.14612139459332563,0.0,0.0066784749036022115,0.021321834559526527,-0.1208,0.10888971648764707,-0.03410746654470302,1.5537770373670628e-05,0.014406363632252641,-0.04898491869405558,-0.001038826792344723,-0.7831471341784616,-0.4713802408750872,-0.032926103460967235,-0.0,0.0,0.002358900382676841
97.0,0.015182999894022942,-0.06245400011539459,-0.00025400001322850585,0.9997169971466064,0.02266700007021427,-0.007166000083088875,-0.00021100000594742596,0.9982595355540196,0.0,0.0,-0.058973720210556496,0.015298769897919865,0.010638217478685999,-0.1208,0.20263333692219757,0.1883947620062645,0.0,0.006681429635288151,0.021368106362223548,-0.1208,0.10912598635880583,-0.034122678817923545,1.8238955013267805e-05,0.02628012390024176,-0.06911868610499364,-0.0014217705740289866,-0.7835987135418128,-0.47274373154989763,-0.03299444615183968,-0.0,0.0,0.0023589003826768413
117.0,0.015182999894022942,-0.06245400011539459,-0.00025400001322850585,0.9997169971466064,0.02266700007021427,-0.007166000083088875,-0.00021100000594742596,0.9982609688570275,0.0,0.0,-0.05894945340398671,0.018844842390815197,0.015298769897919865,-0.1208,0.11098765896231287,0.1985393355427589,0.0,0.006662904313534313,0.02142968956519956,-0.1208,0.10944036371999051,-0.034028469230703164,2.7025685346837325e-05,0.05002764443621998,-0.08718745173019446,-0.00166859049014706,-0.7841479251017325,-0.4744021321252561,-0.03307757013334798,-0.0,0.0,0.0023589003826768417
138.0,0.0616069994866848,-0.06447499990463257,-0.003218000056222081,0.9997569918632507,0.021484000608325005,-0.004850999917834997,-0.0003129999968223274,0.9982603356914028,0.0,0.0,-0.05896017456968494,0.020263271387973333,0.019148791461634798,-0.1208,0.028661069409972834,0.11098765896231287,0.0,0.004246966419341612,0.019032921323915264,-0.1208,0.09718483072649667,-0.02168618335054304,1.2457555731918308e-05,0.07111732131484583,-0.09728118622124134,-0.0017993560185604628,-0.7845133208261369,-0.4759090785140808,-0.033145915778979775,0.0,0.0,-0.0010437770678874574
164.0,0.0616069994866848,-0.06447499990463257,-0.003218000056222081,0.9997569918632507,0.021484000608325005,-0.004850999917834997,-0.0003129999968223274,0.998259530950198,0.0,0.0,-0.05897379814028103,0.0179329951783564,0.021377751314311865,-0.1208,-0.18913129137606827,-0.05238866052301734,0.0,0.004173941981759431,0.018848541011616506,-0.1208,0.09624329044035818,-0.02131360479989723,1.932288891946175e-05,0.08247665121211444,-0.08540552314682416,-0.0014792760630778588,-0.7849776612750101,-0.4778239753574935,-0.03323276376580744,0.0,0.0,-0.0010437770678874577
185.0,0.03612099960446358,-2.300000051036477e-05,-0.022948000580072403,0.9997929930686951,0.019957000389695168,-0.004013999830931425,2.9000000722589903e-05,0.9982518542413612,0.0,0.0,-0.05910359975233304,0.012968493688302933,0.019858005960213865,-0.1208,-0.26729137756577503,-0.09062151145999496,0.0,0.0050239354105007334,0.018162752642565602,-0.1208,0.09273096770675998,-0.02563821841497895,-0.0002791665194739574,0.07662469153442317,-0.06115476325463584,-0.0009416214501488753,-0.7853658992550624,-0.4793329333243293,-0.03329878567991046,0.0,0.0,-0.023217950974505283
211.0,0.03612099960446358,-2.300000051036477e-05,-0.022948000580072403,0.9997929930686951,0.019957000389695168,-0.004013999830931425,2.9000000722589903e-05,0.9982342905430168,0.0,0.0,-0.05939950491443479,0.007193461342730532,0.018236944249175997,-0.1208,-0.1569594380490121,-0.028661069409972834,0.0,0.005058193267005372,0.018226779893347953,-0.1208,0.09305788953661345,-0.02581294578134344,-0.000283519183670729,0.06836218157609728,-0.031719571528099906,-0.00036993073454234067,-0.7858510864870715,-0.4811129841769313,-0.03337377617228,0.0,0.0,-0.023217950974505283
233.0,0.03612099960446358,-2.300000051036477e-05,-0.022948000580072403,0.9997929930686951,0.019957000389695168,-0.004013999830931425,2.9000000722589903e-05,0.9982190392111508,0.0,0.0,-0.059655257575231956,0.004559236062293999,0.018135627892236134,-0.1208,-0.05731542154565024,0.028661069409972834,0.0,0.005076114310864285,0.018279537456035916,-0.1208,0.09332725171795393,-0.02590438103480527,-0.00028500754909068616,0.06784577470370191,-0.01829299284582036,-9.569603764078235e-05,-0.7862708940427233,-0.48265139970707466,-0.03343859085948676,0.0,0.0,-0.023217950974505283
258.0,0.06706500053405762,-0.04395199939608574,-0.025080999359488487,0.9998199939727783,0.018637999892234802,-0.0034149999264627695,0.0007399999885819852,0.9982012250753064,0.0,0.0,-0.05995260009505456,0.004964501490053466,0.018236944249175997,-0.1208,0.028661069409972834,0.0,0.0,0.0031989070745685783,0.016077232407709398,-0.1208,0.0820724229470382,-0.01632810204785363,-5.046572389310901e-05,0.0699940793983047,-0.02111565914966065,-0.00016041511362415437,-0.7866008891940487,-0.4842167783673016,-0.033499227246126424,0.0,0.0,-0.023880819036818733
276.0,0.06706500053405762,-0.04395199939608574,-0.025080999359488487,0.9998199939727783,0.018637999892234802,-0.0034149999264627695,0.0007399999885819852,0.9981887071609407,0.0,0.0,-0.06016065904201636,0.0046605524192338665,0.01752772975059693,-0.1208,-0.0877744104539159,-0.10563243107700525,0.0,0.0031910914500997587,0.015982553852360307,-0.1208,0.0815891140725639,-0.016288137256783575,-5.226442846779802e-05,0.06637883370877862,-0.019566268139863757,-0.00014331031281480518,-0.7868320959174814,-0.4853120622267196,-0.033541656197437285,0.0,0.0,-0.023880819036818726
302.0,0.017309000715613365,-0.031968001276254654,-0.026621999219059944,0.9998549818992615,0.016892999410629272,-0.001415999955497682,0.0014270000392571092,0.9981691251972595,0.0,0.0,-0.06048468816930111,0.003140807065135866,0.015906668039559063,-0.1208,0.0,0.0,0.0,0.0014404147224051551,0.015915564143239365,-0.1208,0.08123517956444376,-0.007351312001358319,-2.2269824217833368e-05,0.060277161873559984,-0.014297480558911585,-0.00016257799660260536,-0.7871421182176432,-0.4869743299385151,-0.03360424642123778,0.0,0.0,-0.0255748161095303
328.0,0.017309000715613365,-0.031968001276254654,-0.026621999219059944,0.9998549818992615,0.016892999410629272,-0.001415999955497682,0.0014270000392571092,0.9981494607747671,0.0,0.0,-0.06080833787435502,0.0028368579943162664,0.015906668039559063,-0.1208,-0.0708849741787032,0.0,0.0,0.0014448680361325986,0.015914739229431776,-0.1208,0.08123097126676303,-0.0073740159549687285,-2.3049042086546754e-05,0.060277161873559984,-0.012747867653259099,-0.00013558007382028203,-0.7873036125454794,-0.4885068294299166,-0.03365650169686541,0.0,0.0,-0.025574816109530298
352.0,0.017309000715613365,-0.031968001276254654,-0.026621999219059944,0.9998549818992615,0.016892999410629272,-0.001415999955497682,0.0014270000392571092,0.9981303892597305,0.0,0.0,-0.06112058602646939,0.0014184289971581332,0.015906668039559063,-0.1208,0.0,0.0,0.0,0.0014503836105673623,0.01591398973953773,-0.1208,0.08122714844946315,-0.007402135673356905,-2.4010264109565668e-05,0.060277161873559984,-0.005516340760214163,-9.589767502773117e-06,-0.7874599058308991,-0.48998530150890107,-0.033706916113161824,0.0,0.0,-0.0255748161095303
373.0,0.04471199959516525,-0.04945499822497368,-0.04100700095295906,0.9998760223388672,0.015525000169873238,-0.0007329999934881926,0.0026660000439733267,0.9981047379529417,0.0,0.0,-0.061538053884482496,0.0014184289971581332,0.015906668039559063,-0.1208,-0.030901488086022066,-0.030901488086022066,0.0,0.00019741637372214425,0.013792971809410718,-0.1208,0.07039467731796921,-0.001009599520803211,6.604231306273805e-05,0.06197013047257929,-0.006379936425900172,-5.79521876566784e-05,-0.7875055262967451,-0.4911192001263292,-0.03374220384986699,0.0,0.0,-0.03951347718196174
