time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_i2b_0,q_i2b_1,q_i2b_2,q_i2b_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
7.0,0.00017600000137463212,-4.8000001697801054e-05,-0.0019950000569224358,0.9955509901046753,-0.07220900058746338,0.05774400010704994,-0.018185999244451523,0.9998924037703791,0.0,0.0,-0.014669045036854737,-0.06486779753074963,-0.06628622652790776,-0.1208,0.0,0.0,0.0,0.04494063233431761,0.053,-0.1208,0.31566501427834126,-0.23345187211357477,0.0014338181162755783,-0.42225074510772714,0.39447800212281064,0.005298979962754469,-0.12538444220735007,-0.16977178173839905,-0.03952802422155542,0.0,0.0,-0.001973664704330514
33.0,0.00017600000137463212,-4.8000001697801054e-05,-0.0019950000569224358,0.9955509901046753,-0.07220900058746338,0.05774400010704994,-0.018185999244451523,0.9998920232901607,0.0,0.0,-0.014694956982212633,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.04855995113898277,0.053,-0.1208,0.3313274223922633,-0.25209105157712036,0.0004577644464064971,-0.42174274592137106,0.3939700029364546,0.005290049164966972,-0.12561037666263,-0.17006832075394682,-0.03959785921246697,0.0,0.0,-0.001973664704330514
55.0,0.00017600000137463212,-4.8000001697801054e-05,-0.0019950000569224358,0.9955509901046753,-0.07220900058746338,0.05774400010704994,-0.018185999244451523,0.9998917096273808,0.0,0.0,-0.014716284124519684,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.04856618689746546,0.053,-0.1208,0.33135363375283416,-0.25212315235549504,0.00045599628165918926,-0.42174274592137106,0.3939700029364546,0.005290049164966972,-0.12579634088158595,-0.17031238626356726,-0.03965533777748706,0.0,0.0,-0.001973664704330515
80.0,-0.0009420000133104622,-0.0048420000821352005,-0.0009450000361539423,0.9957090020179749,-0.07348699867725372,0.056088000535964966,0.004135999828577042,0.9998916881147948,0.0,0.0,-0.014717745715503317,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.048089121354329516,0.053,-0.1208,0.3279025115001324,-0.24963950932578224,0.0004141077106927077,-0.4217461015353488,0.393943205799425,0.005298543187312636,-0.12600976957452867,-0.17059205317644532,-0.03972123027453935,0.0,0.0,-0.0001167105278680718
97.0,-0.0009420000133104622,-0.0048420000821352005,-0.0009450000361539423,0.9957090020179749,-0.07348699867725372,0.056088000535964966,0.004135999828577042,0.9998916737883251,0.0,0.0,-0.014718718992559476,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.04809208579325229,0.053,-0.1208,0.32792207013195335,-0.2496548874110171,0.0004140600343582514,-0.4217461015353488,0.393943205799425,0.005298543187312636,-0.1261518925010532,-0.17077828388683847,-0.039765108251302,0.0,0.0,-0.00011671052786807179
118.0,-0.0009420000133104622,-0.0048420000821352005,-0.0009450000361539423,0.9957090020179749,-0.07348699867725372,0.056088000535964966,0.004135999828577042,0.9998916552687444,0.0,0.0,-0.01471997703565943,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.048096012048400034,0.053,-0.1208,0.3279479745340033,-0.24967525493593998,0.00041399688329483156,-0.4217461015353488,0.393943205799425,0.005298543187312636,-0.12633559869182504,-0.17101900266488787,-0.03982182425559803,0.0,0.0,-0.00011671052786807179
144.0,0.0031689999159425497,0.004745000042021275,-0.0011350001441314816,0.995710015296936,-0.07346399873495102,0.05610699951648712,0.0040870001539587975,0.999891240057595,0.0,0.0,-0.014748154328087867,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.05187037912894066,0.053,-0.1208,0.3199864460071784,-0.268712191071693,-0.003300062187630804,-0.421722226756106,0.3939629829463121,0.0052863615338011195,-0.126575608419004,-0.1713020628169623,-0.03989125304339814,0.0,0.0,-0.0021635931221562613
169.0,0.0031689999159425497,0.004745000042021275,-0.0011350001441314816,0.995710015296936,-0.07346399873495102,0.05610699951648712,0.0040870001539587975,0.9998908384398826,0.0,0.0,-0.01477535799867359,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.05187612027593394,0.053,-0.1208,0.3200073037556751,-0.26874169126359015,-0.0033020555180426226,-0.421722226756106,0.3939629829463121,0.0052863615338011195,-0.12680733300503017,-0.1715753360454689,-0.039958282821257254,0.0,0.0,-0.0021635931221562618
191.0,0.00028700000257231295,-0.001231999951414764,-0.0018860000418499112,0.9957110285758972,-0.07345700263977051,0.056102998554706573,0.004036999773234129,0.9998905429961334,0.0,0.0,-0.014795338012280463,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.04947985948262299,0.053,-0.1208,0.32580411669769926,-0.25666827854355145,-0.0008510987710025697,-0.42171825327046925,0.3939546016936168,0.005287630215211134,-0.12700143324843247,-0.17181591030270948,-0.04001615720164239,0.0,0.0,-0.0017063460068627158
218.0,0.00028700000257231295,-0.001231999951414764,-0.0018860000418499112,0.9957110285758972,-0.07345700263977051,0.056102998554706573,0.004036999773234129,0.9998902081571908,0.0,0.0,-0.014817949634471339,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.04948520297953881,0.053,-0.1208,0.32582713399475566,-0.25669579517578317,-0.0008525511093977826,-0.42171825327046925,0.3939546016936168,0.005287630215211134,-0.12723395255351133,-0.17210959650316296,-0.04008630031286386,0.0,0.0,-0.001706346006862716
238.0,0.00028700000257231295,-0.001231999951414764,-0.0018860000418499112,0.9957110285758972,-0.07345700263977051,0.056102998554706573,0.004036999773234129,0.9998899497864215,0.0,0.0,-0.014835373810846238,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.04949020614926619,0.053,-0.1208,0.3258486845653163,-0.25672155926184703,-0.0008539110328573555,-0.42171825327046925,0.3939546016936168,0.005287630215211134,-0.1274131329972639,-0.1723359031379563,-0.04014035153662805,0.0,0.0,-0.0017063460068627158
258.0,0.0022479998879134655,0.0009629999985918403,-0.001420999993570149,0.9957110285758972,-0.07346499711275101,0.056092001497745514,0.003988000098615885,0.9998896825458544,0.0,0.0,-0.01485337464519176,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.050370388288784165,0.053,-0.1208,0.3219413025047629,-0.261123996009073,-0.001968804951115874,-0.42173139313425717,0.3939365994122791,0.005296344405330117,-0.12759287434782032,-0.1725559323823875,-0.040193535026892185,0.0,0.0,-0.0017896003876289787
280.0,0.0022479998879134655,0.0009629999985918403,-0.001420999993570149,0.9957110285758972,-0.07346499711275101,0.056092001497745514,0.003988000098615885,0.9998893943050436,0.0,0.0,-0.014872765589923303,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.05037667964589902,0.053,-0.1208,0.3219670913866711,-0.26115637167460654,-0.001970662965730023,-0.42173139313425717,0.3939365994122791,0.005296344405330117,-0.12778650108619785,-0.1727929495235054,-0.04025082559460188,0.0,0.0,-0.0017896003876289787
305.0,0.0004900000058114529,0.00022200000239536166,-0.00041400003829039633,0.9957110285758972,-0.07344699651002884,0.056127000600099564,0.003949999809265137,0.9998892078231145,0.0,0.0,-0.014885297405987579,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.05017304830238398,0.053,-0.1208,0.32522617593250586,-0.2601816294652311,-0.0014241039532510342,-0.42171122501093544,0.39397549723431335,0.005279787814343544,-0.12800869803208068,-0.17306739750920017,-0.040316937730508706,0.0,0.0,-0.0004943503658607617
326.0,0.0004900000058114529,0.00022200000239536166,-0.00041400003829039633,0.9957110285758972,-0.07344699651002884,0.056127000600099564,0.003949999809265137,0.9998891286789348,0.0,0.0,-0.014890612804074046,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.050178081535020916,0.053,-0.1208,0.3252548714271194,-0.26020766500905396,-0.0014246864057591475,-0.42171122501093544,0.39397549723431335,0.005279787814343544,-0.12820002273913667,-0.17330510008910863,-0.04037407186252802,0.0,0.0,-0.0004943503658607617
347.0,0.0004900000058114529,0.00022200000239536166,-0.00041400003829039633,0.9957110285758972,-0.07344699651002884,0.056127000600099564,0.003949999809265137,0.9998890518193256,0.0,0.0,-0.014895772952414814,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.05018153724047213,0.053,-0.1208,0.3252745729157712,-0.26022554043039575,-0.0014250863269356536,-0.42171122501093544,0.39397549723431335,0.005279787814343544,-0.12838576048299516,-0.17353585905861132,-0.04042953724585692,0.0,0.0,-0.0004943503658607617
368.0,0.0014720000326633453,-0.0009239999926649034,-0.0006380000268109143,0.9957110285758972,-0.07345999777317047,0.05610699951648712,0.003898999886587262,0.9998889494325277,0.0,0.0,-0.014902644151823742,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.049700143549207036,0.053,-0.1208,0.323408318550533,-0.25774613469784813,-0.001294445134361261,-0.42173078155337373,0.39394637696876067,0.005293414492261701,-0.12856980748032953,-0.17376545428497128,-0.04048463530174617,0.0,0.0,-0.0006576436535033985
390.0,0.0014720000326633453,-0.0009239999926649034,-0.0006380000268109143,0.9957110285758972,-0.07345999777317047,0.05610699951648712,0.003898999886587262,0.9998888428932982,0.0,0.0,-0.014909790659209023,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.04970551197150152,0.053,-0.1208,0.32343779598825273,-0.2577738849549137,-0.0012951949067909329,-0.42173078155337373,0.39394637696876067,0.005293414492261701,-0.12876123053565655,-0.17400424724654853,-0.04054194096631023,0.0,0.0,-0.0006576436535033987
415.0,0.0015899999998509884,0.003206999972462654,-0.0007379999733529985,0.995710015296936,-0.07344499975442886,0.05614599958062172,0.0038580000400543213,0.9998886695729027,0.0,0.0,-0.01492140944183654,-0.06476648117380976,-0.06618491017096788,-0.1208,0.0,0.0,0.0,0.05135488607256889,0.053,-0.1208,0.3233469392422591,-0.2661536178555652,-0.002518584277704746,-0.4217134116266095,0.39398889285491595,0.00527660945899422,-0.1289846186792071,-0.17427924040106166,-0.04060827424811266,0.0,0.0,-0.0013717305275064613
