time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_i2b_0,q_i2b_1,q_i2b_2,q_i2b_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
5.0,-0.07393600046634674,0.16547299921512604,-0.1211249977350235,-0.9771890044212341,-0.1406240016222,0.09057199954986572,-0.13085800409317017,0.9574249019925481,0.0,0.0,-0.28868245018455724,0.0,0.0,-0.1208,0.0,0.0,0.0,0.053,0.053,-0.1208,0.5032170137250708,-0.6109321095246452,0.04854305123754464,0.15475153531743127,-0.13175843345168264,0.0,-5.972886883031611,-4.679655900627398,2.5976441221337554,0.0,0.0,-0.08860100542956756
22.0,-0.07393600046634674,0.16547299921512604,-0.1211249977350235,-0.9771890044212341,-0.1406240016222,0.09057199954986572,-0.13085800409317017,0.9572174552391113,0.0,0.0,-0.28936956195419083,0.0,0.0,-0.1208,0.030901488086022066,0.030901488086022066,0.0,0.053,0.053,-0.14855000000000002,5.936144968701567,-7.565805890040712,0.6681347121976232,0.15475153531743127,-0.13175843345168264,0.0,-5.989890434890147,-4.686730400485135,2.6033771505519416,0.0,0.0,-0.08860100542956756
49.0,-0.07393600046634674,0.16547299921512604,-0.1211249977350235,-0.9771890044212341,-0.1406240016222,0.09057199954986572,-0.13085800409317017,0.9568713059691746,0.0,0.0,-0.29051214056016034,0.002026327138797333,0.002938174351256133,-0.12150921449857907,0.17126313911754087,0.20361547739829028,-0.10563243107700525,0.053,0.053,-0.14855000000000002,5.952356849974651,-7.594149737685983,0.6720027442409638,0.16980960963772143,-0.14229028194889579,-0.0003138044405454357,-6.018184949975534,-4.698474346459873,2.6129095926468193,0.0,0.0,-0.08860100542956754
76.0,0.02449299953877926,0.027170000597834587,-0.08975200355052948,0.9863370060920715,0.12808899581432343,-0.10284599661827087,0.01247899979352951,0.956564054227292,0.0,0.0,-0.2915222292729083,0.008206624912129198,0.009929002980106932,-0.12606845056087307,0.36259299538366385,0.36259299538366385,-0.26806888940092566,0.053,0.053,-0.14855000000000002,5.209316025304434,-6.324640075504997,0.5373327986641241,0.20876285748420603,-0.1721334942568298,1.6861462385499887e-05,-6.014543167100049,-4.693190433012267,2.6108133025444094,0.0,0.0,-0.07306530063846092
93.0,0.02449299953877926,0.027170000597834587,-0.08975200355052948,0.9863370060920715,0.12808899581432343,-0.10284599661827087,0.01247899979352951,0.9563781537521215,0.0,0.0,-0.2921315235055665,0.015906668039559063,0.015906668039559063,-0.13072900298010692,0.45495298403683665,0.45495298403683665,-0.35906642637856806,0.053,0.053,-0.14855000000000002,5.191224951404265,-6.302615508968332,0.5354508274559224,0.24355671340474194,-0.21419252716851478,0.0018414362529336624,-6.000694386126472,-4.683654945656068,2.605275578557759,0.0,0.0,-0.0730653006384609
115.0,0.02449299953877926,0.027170000597834587,-0.08975200355052948,0.9863370060920715,0.12808899581432343,-0.10284599661827087,0.01247899979352951,0.9561473037087046,0.0,0.0,-0.2928862127355506,0.025936987376605866,0.028368579943162664,-0.13923957696305572,0.4682528527977999,0.44671234743185867,-0.273366934335821,0.053,0.053,-0.14855000000000002,5.181150706519416,-6.285184272658992,0.5330368940584377,0.31455500936805475,-0.2715445657740315,0.0016851676610463973,-5.983528847455004,-4.671853893565098,2.5984163827923985,0.0,0.0,-0.0730653006384609
135.0,0.1350959986448288,-0.14359800517559052,-0.0312809981405735,0.9858270287513733,0.13054999709129333,-0.10481700301170349,0.010745000094175339,0.9560322065156843,0.0,0.0,-0.29326169218762954,0.03485282678731413,0.0367778375691716,-0.14430539481004906,0.3833994029723063,0.36248075712628125,-0.18349241822503728,0.053,0.053,-0.14855000000000002,5.106160908296888,-6.158584867712253,0.5315638396375766,0.36491518782008825,-0.3220204558405205,0.003125441953547432,-5.964094894809096,-4.6588908555228,2.590599917603097,0.0,0.0,-0.03786764711619282
157.0,0.1350959986448288,-0.14359800517559052,-0.0312809981405735,0.9858270287513733,0.13054999709129333,-0.10481700301170349,0.010745000094175339,0.9559130215173186,0.0,0.0,-0.29364995367551217,0.04194497177310479,0.0434647171272028,-0.14744620187518492,0.2778364242562289,0.2778364242562289,-0.09062151145999496,0.053,0.053,-0.14855000000000002,5.094170159703153,-6.13728773725847,0.5284680784234211,0.4012019798760702,-0.3595268377285068,0.004200338736148044,-5.943991979030676,-4.6454922344935,2.582517265837599,0.0,0.0,-0.03786764711619281
185.0,0.21857699751853943,-0.2170960009098053,0.0008829999715089798,0.9846199750900269,0.13554100692272186,-0.10975699871778488,0.010273000225424767,0.9557887647927379,0.0,0.0,-0.2940541397361591,0.04954369854359479,0.04954369854359479,-0.1484593654445836,0.16709597719860417,0.16709597719860417,0.0,0.053,0.053,-0.14855000000000002,5.02023898342231,-6.034407997211534,0.5302676233150698,0.437787919011637,-0.4031518423453581,0.005957183352885084,-5.916988654869985,-4.627455593291866,2.5715040063297914,0.0,0.0,-0.008775381316712821
205.0,0.21857699751853943,-0.2170960009098053,0.0008829999715089798,0.9846199750900269,0.13554100692272186,-0.10975699871778488,0.010273000225424767,0.955763035557992,0.0,0.0,-0.2941377566055953,0.05187397475321173,0.05238055653791106,-0.1484593654445836,0.07019585073111402,0.07019585073111402,0.0,0.053,0.053,-0.14855000000000002,5.006196973557659,-6.0151176640197335,0.528104827003734,0.4513789191016654,-0.4143158781335957,0.00594580718831014,-5.896497089113205,-4.613668194990825,2.56284203752683,0.0,0.0,-0.008775381316712821
