time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_i2b_0,q_i2b_1,q_i2b_2,q_i2b_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
6.0,0.10528399795293808,-0.06891299784183502,0.02613699994981289,0.9873210191726685,0.02574699930846691,0.1565849930047989,-0.003998999949544668,0.9971886497788572,0.0,0.0,-0.07493194747382201,-0.06486779753074963,0.0,-0.1208,0.012664544297550026,0.0,0.0,0.053,-0.05069270539929572,-0.1208,-0.2601252535787137,-0.9069617012986287,-0.03739220978262687,0.03055781959254623,0.5049015446726041,-0.00845699416956196,-0.8549966662441794,0.2505497035751102,-0.29165342390527527,0.0,0.0,-0.011172066097969804
28.0,0.10528399795293808,-0.06891299784183502,0.02613699994981289,0.9873210191726685,0.02574699930846691,0.1565849930047989,-0.003998999949544668,0.9971795747402313,0.0,0.0,-0.07505261968040584,-0.06461450663839996,-0.00012664544617483332,-0.1208,0.0,-0.03932594295275234,0.0,0.053,-0.053,-0.1208,-0.6085300051000899,-1.892308246340242,-0.09945398551997371,0.029944312531696046,0.5036745305509036,-0.008526991814580857,-0.8563511034255692,0.2510696254058424,-0.2921218683880185,0.0,0.0,-0.011172066097969805
48.0,0.10528399795293808,-0.06891299784183502,0.02613699994981289,0.9873210191726685,0.02574699930846691,0.1565849930047989,-0.003998999949544668,0.9971710562164388,0.0,0.0,-0.07516571455252818,-0.06461450663839996,-0.0010384926586336331,-0.1208,0.0,-0.11770427470142993,0.0,0.053,-0.053,-0.1208,-0.6092151018870521,-1.8938351826065685,-0.09959746527378911,0.025527061693574722,0.5036745305509036,-0.009268734944702263,-0.8576204634150958,0.2515570762121217,-0.29256089792049533,0.0,0.0,-0.011172066097969802
69.0,0.07374600321054459,-0.06373400241136551,0.04120099917054176,0.9875239729881287,0.02834700047969818,0.1548449993133545,-0.0039470000192523,0.9971717535010238,0.0,0.0,-0.07515646359225078,-0.06461450663839996,-0.004533906973059033,-0.1208,0.0,-0.1950251170012621,0.0,0.053,-0.053,-0.1208,-0.6021114439439426,-1.8865371301427711,-0.08518307916561886,0.011765059197422033,0.5018712207895322,-0.012951303607335478,-0.8588961137574692,0.2520412154529715,-0.2930006784715818,-0.0,0.0,0.013098702154896343
89.0,0.07374600321054459,-0.06373400241136551,0.04120099917054176,0.9875239729881287,0.02834700047969818,0.1548449993133545,-0.0039470000192523,0.9971817065709717,0.0,0.0,-0.07502428993469146,-0.06461450663839996,-0.009093143035353031,-0.1208,0.0,-0.2722383106745651,0.0,0.053,-0.053,-0.1208,-0.6028782740456303,-1.8879906516389924,-0.08534625357163962,-0.010339838983820498,0.5018712207895322,-0.01661980224704081,-0.8601513560584912,0.2525115847792082,-0.29343198085819777,-0.0,0.0,0.013098702154896348
109.0,0.07374600321054459,-0.06373400241136551,0.04120099917054176,0.9875239729881287,0.02834700047969818,0.1548449993133545,-0.0039470000192523,0.9971916820152532,0.0,0.0,-0.07489158377007599,-0.06461450663839996,-0.015172124451745032,-0.1208,0.0,-0.34880054677097394,0.0,0.053,-0.053,-0.1208,-0.6039295771159916,-1.8894202759247374,-0.08560240787347549,-0.039813036558810556,0.5018712207895322,-0.021511133766647924,-0.8614116902075479,0.25298365512865084,-0.2938650208802245,-0.0,0.0,0.013098702154896344
136.0,-0.010060999542474747,2.300000051036477e-05,0.0029810001142323017,0.9876430034637451,0.029301999136805534,0.15391899645328522,-0.0033539999276399612,0.9971975815783698,0.0,0.0,-0.07481298880709615,-0.06461450663839996,-0.024949152896442162,-0.1208,0.0,-0.44454070229716286,0.0,0.053,-0.053,-0.1208,-0.5255425393828815,-1.9515317997408066,-0.05147409175030194,-0.08599091791876036,0.500902178061666,-0.029612533585358904,-0.8631818030760734,0.2534374858848785,-0.29445848117793905,-0.0,0.0,0.0058968052572485295
162.0,-0.010060999542474747,2.300000051036477e-05,0.0029810001142323017,0.9876430034637451,0.029301999136805534,0.15391899645328522,-0.0033539999276399612,0.9972033722358151,0.0,0.0,-0.0747357638719128,-0.06461450663839996,-0.03553671219665822,-0.1208,0.0,-0.36415797591869176,0.0,0.053,-0.053,-0.1208,-0.5267632591918601,-1.9532485503756645,-0.051762016376437625,-0.13734833637744354,0.500902178061666,-0.03808095668009117,-0.8649210870489658,0.25388325974896736,-0.2950415964306805,-0.0,0.0,0.00589680525724853
179.0,-0.02733200043439865,-0.0005869999877177179,-0.05519799888134003,0.9876840114593506,0.027881000190973282,0.1539119929075241,-0.0039029999170452356,0.9971946273891953,0.0,0.0,-0.07485235538127072,-0.06461450663839996,-0.04077983366829632,-0.1208,0.0,-0.28465661317152013,0.0,0.053,-0.053,-0.1208,-0.4819228115915573,-1.957554681339442,-0.043282187388216986,-0.16464871837422232,0.5009699297399834,-0.04177164448431603,-0.866019240488671,0.25414299384944694,-0.2954081654278882,0.0,0.0,-0.04421293837563566
200.0,-0.02733200043439865,-0.0005869999877177179,-0.05519799888134003,0.9876840114593506,0.027881000190973282,0.1539119929075241,-0.0039029999170452356,0.9971596204048255,0.0,0.0,-0.07531727181798474,-0.06461450663839996,-0.04635223329998899,-0.1208,0.0,-0.20436670270529692,0.0,0.053,-0.053,-0.1208,-0.48151600610040735,-1.9588695452294398,-0.04307756759912616,-0.19168372557507724,0.5009699297399834,-0.0462290003797226,-0.8674212579103193,0.25443361299361017,-0.2958731383787496,0.0,0.0,-0.04421293837563564
