time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_b2i_0,q_b2i_1,q_b2i_2,q_b2i_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
13186.0,0.02505500055849552,-0.06559699773788452,0.03752699866890907,0.9893730282783508,-0.1047229990363121,-0.08643399924039841,-0.0519849993288517,0.9678910963715038,0.0,0.0,-0.25136989788908376,0.05278582196567053,-0.05298845467955026,-0.1208,-0.07037636607971358,0.0,0.0,0.03557841982195027,-0.053,-0.1208,-0.37139437002616105,-0.19259836297526303,-0.018517971603790036,-0.12710485937002183,-0.16065726895172844,0.007695127215134038,-0.04172902078274457,0.05426983742697797,0.026380377852819985,-0.0,0.0,0.01794824660626348
13213.0,0.024522000923752785,-0.023121999576687813,0.04228299856185913,0.989342987537384,-0.10410600155591965,-0.0883290022611618,-0.05060499906539917,0.9679982835933545,0.0,0.0,-0.250956814931015,0.049037116758895466,-0.05298845467955026,-0.1208,-0.23630885665951956,0.0,0.0,0.04328121971433235,-0.053,-0.1208,-0.37317198158312814,-0.2319860748451235,-0.011870408065015117,-0.12778084258382297,-0.1396146609409931,0.004829431319928327,-0.04166607637352487,0.05432787791916402,0.02637815820969597,-0.0,0.0,0.031709561452824025
13229.0,0.024522000923752785,-0.023121999576687813,0.04228299856185913,0.989342987537384,-0.10410600155591965,-0.0883290022611618,-0.05060499906539917,0.9680645840213981,0.0,0.0,-0.25070093969404567,0.044477880696601454,-0.05298845467955026,-0.1208,-0.16953544198446913,0.0,0.0,0.04322916475861677,-0.053,-0.1208,-0.37342469316327975,-0.23173251255835942,-0.011970129560812386,-0.12778084258382297,-0.11722412041174837,0.002253117845278272,-0.04162708977695191,0.05436382682097336,0.02637678347094064,-0.0,0.0,0.03170956145282402
13250.0,0.016520999372005463,0.016284000128507614,0.038026001304388046,0.9894890189170837,-0.10381399840116501,-0.0877079963684082,-0.049403999000787735,0.9681540101276848,0.0,0.0,-0.25035537276775743,0.04204628813004466,-0.05298845467955026,-0.1208,-0.09504450730537765,0.0,0.0,0.0511680765964497,-0.053,-0.1208,-0.3660313584767714,-0.27141470077134383,-0.0017290053028572359,-0.12837836113789505,-0.10592472955777069,0.0009170866887265696,-0.041608492509916266,0.054401918553315144,0.02637147231483982,-0.0,0.0,0.03740977000926308
13275.0,0.016520999372005463,0.016284000128507614,0.038026001304388046,0.9894890189170837,-0.10381399840116501,-0.0877079963684082,-0.049403999000787735,0.9682716575370846,0.0,0.0,-0.24989997441053682,0.04143838998840546,-0.05298845467955026,-0.1208,0.10160814548101575,0.0,0.0,0.05118124583540103,-0.053,-0.1208,-0.3663242099695334,-0.2714916918567688,-0.0017615497213217199,-0.12837836113789505,-0.1029382732399888,0.0005748903405551748,-0.041621637816359455,0.054440552046272475,0.02636065396747524,-0.0,0.0,0.0374097700092631
13296.0,0.016520999372005463,0.016284000128507614,0.038026001304388046,0.9894890189170837,-0.10381399840116501,-0.0877079963684082,-0.049403999000787735,0.9683685033661027,0.0,0.0,-0.24952443104532745,0.044680513410481196,-0.05298845467955026,-0.1208,0.22925329718845827,0.0,0.0,0.05119419981878768,-0.053,-0.1208,-0.36659031945574777,-0.2715666357367126,-0.0017900144035741727,-0.12837836113789505,-0.1188660402681589,0.00239993753080262,-0.04163247601371187,0.05447240787308754,0.026351733699904265,-0.0,0.0,0.03740977000926309
13321.0,0.022572999820113182,-0.08588699996471405,0.030855000019073486,0.9894610047340393,-0.10362699627876282,-0.08884800225496292,-0.04831700026988983,0.968392427988227,0.0,0.0,-0.24943156459250895,0.04883448404501573,-0.05298845467955026,-0.1208,0.11462747938833506,0.0,0.0,0.031191768064139692,-0.053,-0.1208,-0.369612168346459,-0.17098065911703547,-0.025712377318565578,-0.12857198404471018,-0.13765536578129361,0.004332126000465833,-0.04146613599952902,0.054519880809080455,0.0263698465547433,-0.0,0.0,0.007612147882236787
13342.0,0.022572999820113182,-0.08588699996471405,0.030855000019073486,0.9894610047340393,-0.10362699627876282,-0.08884800225496292,-0.04831700026988983,0.9684120036542844,0.0,0.0,-0.24935555172944185,0.051063443897692795,-0.05298845467955026,-0.1208,0.028661069409972834,0.0,0.0,0.03093927795665124,-0.053,-0.1208,-0.3699133505679132,-0.16971657031483248,-0.026044782713528575,-0.12857198404471018,-0.1486020199731972,0.005584171430166661,-0.04132998658851974,0.054558737456121595,0.02638467193441181,-0.0,0.0,0.0076121478822367885
13365.0,0.05666999891400337,-0.014421000145375729,0.018126999959349632,0.9894520044326782,-0.10272400081157684,-0.09053199738264084,-0.04729299992322922,0.9684312019998829,0.0,0.0,-0.2492809800066223,0.04954369854359479,-0.05298845467955026,-0.1208,-0.15794206484360587,0.0,0.0,0.04513677770481589,-0.053,-0.1208,-0.404365561781869,-0.24311213237800955,-0.017675775240693914,-0.12962570259593054,-0.13884392066836213,0.003989060134474797,-0.0412212931203506,0.05462302274036856,0.026389237438602317,-0.0,0.0,0.0047902565420658814
13387.0,0.05666999891400337,-0.014421000145375729,0.018126999959349632,0.9894520044326782,-0.10272400081157684,-0.09053199738264084,-0.04729299992322922,0.9684440436807312,0.0,0.0,-0.24923108606133826,0.04528841155212039,-0.05298845467955026,-0.1208,-0.2514610821959842,0.0,0.0,0.04508741083494861,-0.053,-0.1208,-0.40510292158596434,-0.24288982977238688,-0.01785450719400476,-0.12962570259593054,-0.11795078690845726,0.0016190575582310598,-0.04119250333202323,0.05471225213358724,0.026374666448880427,-0.0,0.0,0.0047902565420658814
