time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_i2b_0,q_i2b_1,q_i2b_2,q_i2b_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
6.0,-0.06940899789333344,-0.12176299840211868,0.08579699695110321,0.9942079782485962,-0.006207999773323536,-0.10728900134563446,-0.00033999999868683517,0.9697102109610585,0.0,0.0,0.24425827879083178,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.053,0.025165572218671054,-0.1208,0.1275106188423158,0.7953778421092893,-0.017855307416619125,-0.007561776153774027,-0.13146505316978782,-0.0,0.4063895638272511,-0.06496003509074745,-0.08956496937602965,0.0,0.0,0.07050159590145291
31.0,-0.06940899789333344,-0.12176299840211868,0.08579699695110321,0.9942079782485962,-0.006207999773323536,-0.10728900134563446,-0.00033999999868683517,0.9694935433056451,0.0,0.0,0.24511684864297953,-0.0003292781600545666,0.0003292781600545666,-0.1208,-0.05890026261904566,0.05890026261904566,0.0,-0.053,0.007053880879459302,-0.1208,0.03841276615842059,1.2433277934830473,0.007229070686622763,-0.005920863538462441,-0.12982414055447625,-0.00017406451136002345,0.40779875903443297,-0.06488322697083254,-0.08987175028341085,0.0,0.0,0.07050159590145293
52.0,-0.06940899789333344,-0.12176299840211868,0.08579699695110321,0.9942079782485962,-0.006207999773323536,-0.10728900134563446,-0.00033999999868683517,0.9693084556845433,0.0,0.0,0.24584775316940738,-0.0021529725849721666,0.0021529725849721666,-0.1208,-0.13730898927403737,0.13730898927403737,0.0,-0.053,0.006889650224399033,-0.1208,0.03759915483682943,1.245211797051835,0.0074304159204797845,0.0031672678694171113,-0.12073600914659668,-0.0011381141127386149,0.408998499012391,-0.06481695405679366,-0.09013292185127927,0.0,0.0,0.07050159590145293
77.0,-0.020224999636411667,-0.08884699642658234,0.07102999836206436,0.9938480257987976,-0.008105999790132046,-0.11045999825000763,0.0003870000073220581,0.9690998018045196,0.0,0.0,0.24666895658440874,-0.006610892290326299,0.005775032345572399,-0.1208,-0.23351646648480584,0.09611721447065102,0.0,-0.053,-0.0024325252668024656,-0.1208,-0.007706604249250422,1.2371870890922838,0.022278233416342774,0.01875539679072879,-0.10239889891079992,-0.0030519765482838386,0.41038500179584425,-0.06468960715533995,-0.09043938244229131,0.0,0.0,0.06628604444967123
99.0,-0.020224999636411667,-0.08884699642658234,0.07102999836206436,0.9938480257987976,-0.008105999790132046,-0.11045999825000763,0.0003870000073220581,0.9689200676494031,0.0,0.0,0.2473740134013196,-0.011930001029669299,0.0069148413611459,-0.1208,-0.3104168459139594,0.024029615165452475,0.0,-0.053,-0.002787660304413962,-0.1208,-0.009457578786847387,1.2418704145492174,0.022750103790119443,0.024427145610387502,-0.07593073775239265,-0.003483389381337043,0.41159756632479005,-0.0645495420220395,-0.0907099763548688,0.0,0.0,0.06628604444967125
122.0,-0.020224999636411667,-0.08884699642658234,0.07102999836206436,0.9938480257987976,-0.008105999790132046,-0.11045999825000763,0.0003870000073220581,0.968730354088674,0.0,0.0,0.24811590248759227,-0.020744524083437698,0.005648386899397566,-0.1208,-0.4061962615274707,-0.1123889654597482,0.0,-0.053,-0.00336077872861322,-0.1208,-0.01228108203597311,1.2500543959906936,0.023521503977345596,0.01812520247743338,-0.03206921354703201,-0.0023769897907465476,0.4128735833176423,-0.06440134265262983,-0.09099471685233501,0.0,0.0,0.06628604444967125
143.0,-0.0090549997985363,0.04937800019979477,0.053846996277570724,0.9938129782676697,-0.008394000120460987,-0.11073099821805954,0.002131999935954809,0.968604160065857,0.0,0.0,0.248608087364662,-0.02943240169103126,0.0027355416373763992,-0.1208,-0.4230792084901854,-0.19044688423769773,0.0,-0.053,-0.006622554109257789,-0.1208,-0.02872484444512978,1.121327516293557,0.026205193783509818,0.0030382498115273924,0.010833637314027665,-0.0002550775112433608,0.4138041570653026,-0.0642528685266381,-0.09120206168946647,0.0,0.0,0.049679215654890925
163.0,-0.0090549997985363,0.04937800019979477,0.053846996277570724,0.9938129782676697,-0.008394000120460987,-0.11073099821805954,0.002131999935954809,0.9684795977637357,0.0,0.0,0.24909289173999496,-0.0373857357108108,-0.0015450744433329665,-0.1208,-0.3443265989309734,-0.19619831732553653,0.0,-0.053,-0.006749564213054194,-0.1208,-0.02935017338740381,1.1231233230914908,0.026377869260218866,-0.018259480097630745,0.05040456744110261,0.0025801881244997622,0.4147208095875128,-0.06410608883831875,-0.09140629541810702,0.0,0.0,0.04967921565489092
189.0,0.006564999930560589,0.12912799417972565,0.02390900067985058,0.9941689968109131,-0.008736000396311283,-0.10743299871683121,0.0031389999203383923,0.9683530118283442,0.0,0.0,0.24958454375817224,-0.04511110792747563,-0.0055470705424577,-0.1208,-0.2446585755174411,-0.09511072767460069,0.0,-0.053,-0.009634970732718691,-0.1208,-0.044085687706254775,1.0215244905850265,0.02851032450559096,-0.038758728908172786,0.09317368826401483,0.005254568782110432,0.4158259441403102,-0.06390764901859158,-0.09164944629235605,0.0,0.0,0.022425392345528178
210.0,0.006564999930560589,0.12912799417972565,0.02390900067985058,0.9941689968109131,-0.008736000396311283,-0.10743299871683121,0.0031389999203383923,0.9682922705739514,0.0,0.0,0.24982009276025358,-0.0494677112758899,-0.006686879558031199,-0.1208,-0.16356399790018444,-0.024029615165452475,0.0,-0.053,-0.00946686177165404,-0.1208,-0.04326678813767733,1.016594510656731,0.02824020571920295,-0.0444380175482596,0.11488119151056891,0.0061012081095649685,0.41666052354187033,-0.06372703285358934,-0.0918285809095676,0.0,0.0,0.02242539234552817
