time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_i2b_0,q_i2b_1,q_i2b_2,q_i2b_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
6497.0,-0.12240800261497498,-0.02470500022172928,-1.305243968963623,-0.29620400071144104,-0.04031800106167793,-0.00736499996855855,-0.9542449712753296,-0.280588453080159,0.0,0.0,-0.9598281721214915,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.019708575168258094,-0.00831440608411281,-0.1208,-0.042610019845346916,0.10084827389338341,-0.0007359493056807263,0.02338002778277159,-0.04472771176970566,0.0,-0.008025754162695893,-0.001911642535918275,-0.005551120976411324,0.0,0.0,-1.3106811065194826
6515.0,-0.12240800261497498,-0.02470500022172928,-1.305243968963623,-0.29620400071144104,-0.04031800106167793,-0.00736499996855855,-0.9542449712753296,-0.29137297889863645,0.0,0.0,-0.9566095270107522,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.019855611391314355,-0.008053586636376956,-0.1208,-0.041284148312878174,0.10159610379287796,-0.0008609788426210597,0.02338002778277159,-0.04472771176970566,0.0,-0.0077619232697806375,-0.0017868602484891064,-0.005575085564429334,0.0,0.0,-1.3106811065194823
6532.0,-0.12240800261497498,-0.02470500022172928,-1.305243968963623,-0.29620400071144104,-0.04031800106167793,-0.00736499996855855,-0.9542449712753296,-0.3020131573943146,0.0,0.0,-0.9533037568166388,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.019997133711511055,-0.0077960072255724095,-0.1208,-0.03997469548234743,0.10231579765014662,-0.000983741536514747,0.02338002778277159,-0.04472771176970566,0.0,-0.007498978972303613,-0.0016666277860967068,-0.005598812377811884,0.0,0.0,-1.3106811065194823
6549.0,-0.1421390026807785,-0.0027809999883174896,-1.304718017578125,-0.3334679901599884,-0.039232999086380005,-0.004997999873012304,-0.9419320225715637,-0.31272100428821364,0.0,0.0,-0.9498450260316,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.01733802949381352,-0.005093607065937947,-0.1208,-0.026158047457961874,0.08867553753863312,-0.0013131731182335874,0.021926178197627766,-0.04349087173917523,0.0,-0.007269516009908104,-0.0015750143611124863,-0.005618327793049813,0.0,0.0,-1.310768273729839
6566.0,-0.1421390026807785,-0.0027809999883174896,-1.304718017578125,-0.3334679901599884,-0.039232999086380005,-0.004997999873012304,-0.9419320225715637,-0.323257683708363,0.0,0.0,-0.9463109795006627,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.01747616267653773,-0.004843902864628903,-0.1208,-0.024888397336890633,0.08937829091173138,-0.001428144858062075,0.021926178197627766,-0.04349087173917523,0.0,-0.007041193557916321,-0.0014877026131248996,-0.0056376089226867696,0.0,0.0,-1.3107682737298387
6583.0,-0.1421390026807785,-0.0027809999883174896,-1.304718017578125,-0.3334679901599884,-0.039232999086380005,-0.004997999873012304,-0.9419320225715637,-0.3339292695489731,0.0,0.0,-0.9425981343809721,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.017613779344223014,-0.00458874704062379,-0.1208,-0.023590982413595328,0.09007833445778994,-0.0015449855599986735,0.021926178197627766,-0.04349087173917523,0.0,-0.0068073784112501635,-0.0014021664100179248,-0.005657215547820834,0.0,0.0,-1.3107682737298387
6600.0,-0.1604910045862198,0.0182460006326437,-1.3038150072097778,-0.37022000551223755,-0.037255000323057175,-0.00227600010111928,-0.928193986415863,-0.3444966524387701,0.0,0.0,-0.9387875459647306,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.014941763349026272,-0.001456314654704105,-0.1208,-0.0075798482644243645,0.07637253613195408,-0.001923340463993664,0.01960225898110766,-0.04157946674230467,0.0,-0.006586065459399573,-0.0013313928776218717,-0.005675142414716661,0.0,0.0,-1.310430975314901
6617.0,-0.1604910045862198,0.0182460006326437,-1.3038150072097778,-0.37022000551223755,-0.037255000323057175,-0.00227600010111928,-0.928193986415863,-0.355105156191486,0.0,0.0,-0.9348263625113598,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.015071878514446732,-0.001210406840538524,-0.1208,-0.006329074122455704,0.07703476064558866,-0.002029095985108833,0.01960225898110766,-0.04157946674230467,0.0,-0.006386919028629339,-0.001285178742186874,-0.005690091452340194,0.0,0.0,-1.3104309753149013
6635.0,-0.1604910045862198,0.0182460006326437,-1.3038150072097778,-0.37022000551223755,-0.037255000323057175,-0.00227600010111928,-0.928193986415863,-0.36570559503474365,0.0,0.0,-0.9307305828005674,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.015199829960740681,-0.0009622530015609168,-0.1208,-0.005066839098184943,0.07768590329493974,-0.0021352734824764334,0.01960225898110766,-0.04157946674230467,0.0,-0.006185509941928643,-0.0012419471573637975,-0.00570509844737849,0.0,0.0,-1.310430975314901
6652.0,-0.1604910045862198,0.0182460006326437,-1.3038150072097778,-0.37022000551223755,-0.037255000323057175,-0.00227600010111928,-0.928193986415863,-0.3761091699126808,0.0,0.0,-0.9265753570582342,0.0,0.0,-0.1208,0.0,0.0,0.0,-0.015324077633554527,-0.0007148837099322093,-0.1208,-0.0038085584508717307,0.0783181272507884,-0.0022405799253128614,0.01960225898110766,-0.04157946674230467,0.0,-0.0059854691779015895,-0.0012024417849979424,-0.00571989399472248,0.0,0.0,-1.3104309753149013
